word,lemma,freq
store,store,421
clifford,clifford,421
animal,animal,419
proud,proud,418
toy,toy,418
swim,swim,417
amelia,amelia,417
listening,listen,416
wild,wild,416
paint,paint,416
faster,fast,415
colors,color,415
singing,singe,414
middle,middle,413
feels,feel,412
ones,one,412
tiger,tiger,412
monkey,monkey,412
cut,cut,411
hurt,hurt,410
missing,miss,409
ship,ship,409
puppy,puppy,408
farm,farm,408
since,since,407
showed,show,407
fact,fact,406
shall,shall,406
trip,trip,406
guy,guy,405
cave,cave,404
dw,dw,404
week,week,403
angry,angry,401
understand,understand,401
beach,beach,401
closer,close,400
splash,splash,400
explained,explain,399
except,except,399
kitty,kitty,398
honey,honey,398
win,win,397
presents,present,396
turtle,turtle,396
franklin,franklin,395
exactly,exactly,392
above,above,392
lucky,lucky,392
walking,walk,391
dress,dress,389
mayor,mayor,388
bowl,bowl,388
thomas,thomas,388
goat,goat,388
minute,minute,387
field,field,387
rolled,roll,386
bet,bet,385
foreign,foreign,385
fight,fight,383
perhaps,perhaps,383
half,half,382
become,become,380
case,case,380
pot,pot,379
boom,boom,379
girls,girl,378
ahead,ahead,378
save,save,378
sick,sick,377
sleeping,sleep,377
seven,seven,377
empty,empty,376
roll,roll,376
son,son,375
apples,apple,375
wondered,wonder,375
tonight,tonight,374
able,able,374
passed,pass,373
adventure,adventure,373
whoa,whoa,373
forever,forever,372
luck,luck,372
snake,snake,371
t,t,370
slow,slow,370
mud,mud,370
landed,land,370
closed,close,370
pants,pant,369
join,join,369
pirate,pirate,369
dancing,dance,369
forgot,forget,369
biggest,big,369
mountain,mountain,369
build,build,369
treats,treat,367
bedelia,bedelia,365
clouds,cloud,365
write,write,365
huh,huh,365
climb,climb,364
golden,golden,363
starts,start,363
grown,grow,363
wearing,wear,361
agreed,agree,361
hop,hop,361
reindeer,reindeer,360
eight,eight,360
till,till,360
wake,wake,360
evening,evening,359
sight,sight,359
hurry,hurry,359
afternoon,afternoon,359
sign,sign,358
between,between,357
crowd,crowd,356
bite,bite,355
billy,billy,355
daisy,daisy,354
lives,live,353
bottom,bottom,352
beans,bean,352
extra,extra,352
notice,notice,351
shiny,shiny,351
mad,mad,351
hooray,hooray,350
longer,long,350
chance,chance,349
working,work,349
games,game,349
giving,give,348
leaf,leaf,348
bye,bye,348
kiss,kiss,347
sleepy,sleepy,347
hmm,hmm,347
lucy,lucy,346
b,b,346
sees,see,345
lily,lily,344
person,person,344
path,path,344
knock,knock,343
corner,corner,342
gives,give,342
present,present,341
lay,lie,341
bread,bread,340
chase,chase,340
thinks,think,338
storyteller,storyteller,337
blew,blow,336
mice,mouse,335
dropped,drop,334
pond,pond,333
somebody,somebody,333
