Word_Corpus_All_Picturebooks,Lemma,Freq_Raw,Word_Narrative_Picturebooks,Lemma,Freq_Raw,Word_Informational_Picturebooks,Lemma,Freq_Raw
makes,make,1381,sometimes,sometimes,1179,strong,strong,219
hello,hello,1379,year,year,1173,please,please,218
high,high,1379,fly,fly,1166,beautiful,beautiful,218
live,live,1378,light,light,1165,reading,read,218
sea,sea,1377,far,far,1163,ice,ice,216
mrs,mrs,1376,anything,anything,1154,cat,cat,216
face,face,1374,wo,will,1148,maybe,maybe,216
outside,outside,1369,air,air,1143,shark,shark,215
party,party,1366,george,george,1141,wait,wait,214
finally,finally,1354,swallowed,swallow,1139,deep,deep,214
reading,read,1349,behind,behind,1135,ask,ask,213
far,far,1346,henry,henry,1133,animal,animal,213
cool,cool,1344,top,top,1132,told,tell,213
heart,heart,1340,reading,read,1131,knew,know,213
trees,tree,1331,thanks,thank,1116,god,god,210
rabbit,rabbit,1331,perfect,perfect,1114,fast,fast,210
top,top,1322,high,high,1112,stop,stop,208
nothing,nothing,1313,done,do,1109,few,few,208
lots,lot,1307,cool,cool,1108,father,father,208
anything,anything,1304,heart,heart,1101,kid,kid,205
moon,moon,1277,getting,get,1093,comes,come,204
suddenly,suddenly,1275,may,may,1085,everything,everything,204
days,day,1273,sorry,sorry,1084,safe,safe,202
henry,henry,1267,hair,hair,1083,america,america,201
words,word,1265,life,life,1081,sleep,sleep,199
wo,will,1259,its,its,1063,along,along,199
done,do,1252,whole,whole,1051,spring,spring,198
hair,hair,1251,sister,sister,1046,making,make,197
hot,hot,1248,dear,dear,1045,legs,leg,196
thanks,thank,1245,set,set,1041,seven,seven,195
arthur,arthur,1241,seen,see,1041,space,space,195
behind,behind,1237,lots,lot,1039,full,full,194
getting,get,1229,hat,hat,1038,change,change,190
without,without,1223,bit,bit,1036,ground,ground,190
remember,remember,1222,wish,wish,1035,top,top,190
use,use,1215,makes,make,1033,birds,bird,189
perfect,perfect,1214,animals,animal,1032,dark,dark,189
sound,sound,1213,trees,tree,1031,tail,tail,189
cold,cold,1208,shouted,shout,1028,skin,skin,188
whole,whole,1207,hot,hot,1027,president,president,188
eggs,egg,1203,sound,sound,1027,saw,see,187
open,open,1198,turkey,turkey,1026,sound,sound,186
set,set,1188,coming,come,1023,open,open,185
bit,bit,1185,town,town,1018,took,take,184
george,george,1181,loved,love,1017,started,start,183
four,four,1180,different,different,1016,far,far,183
loved,love,1177,open,open,1013,rocks,rock,182
warm,warm,1176,wow,wow,1013,side,side,182
seen,see,1170,sad,sad,1009,prey,prey,182
kid,kid,1169,gone,go,1006,during,during,182
sad,sad,1163,walked,walk,1005,e,e,181
grow,grow,1161,days,day,1004,fox,fox,181
hand,hand,1158,without,without,997,bat,bat,181
sorry,sorry,1158,sat,sit,994,left,leave,180
feet,foot,1158,grandma,grandma,994,hand,hand,179
side,side,1150,fell,fall,993,living,live,178
sister,sister,1149,doing,do,991,TRUE,TRUE,177
start,start,1149,box,box,990,seeds,seed,177
swallowed,swallow,1147,scared,scared,987,bees,bee,177
wow,wow,1146,eggs,egg,981,o,o,177
leaves,leave,1146,bunny,bunny,981,watch,watch,176
same,same,1146,hand,hand,979,used,use,176
deep,deep,1141,uh,uh,969,talk,talk,176
hat,hat,1139,pretty,pretty,969,outside,outside,174
coming,come,1139,remember,remember,968,though,though,173
ice,ice,1136,side,side,968,learned,learn,172
ground,ground,1131,kid,kid,964,call,call,172
making,make,1129,cold,cold,962,pumpkin,pumpkin,171
black,black,1125,moon,moon,960,looked,look,170
box,box,1123,quite,quite,959,care,care,169
doing,do,1122,brother,brother,958,page,page,169
uh,uh,1115,smiled,smile,952,orange,orange,169
dear,dear,1108,illustrated,illustrate,951,hair,hair,168
grandma,grandma,1107,ground,ground,941,such,such,167
pretty,pretty,1107,such,such,939,free,free,167
such,such,1106,sea,sea,939,hello,hello,166
town,town,1103,laughed,laugh,937,summer,summer,166
earth,earth,1099,making,make,932,felt,feel,166
wish,wish,1095,deep,deep,927,bad,bad,165
five,five,1095,words,word,925,believe,believe,165
scared,scared,1094,else,else,924,job,job,165
sat,sit,1092,warm,warm,922,places,place,165
illustrated,illustrate,1089,ice,ice,920,egg,egg,164
walked,walk,1078,himself,himself,919,mr,mr,164
gone,go,1075,course,course,918,colors,color,163
brother,brother,1073,start,start,917,mean,mean,163
fell,fall,1070,walk,walk,912,king,king,163
shouted,shout,1070,sweet,sweet,911,share,share,162
else,else,1067,leaves,leave,910,close,close,162
turkey,turkey,1066,same,same,910,miss,miss,162
teeth,tooth,1066,feet,foot,908,later,later,162
sweet,sweet,1063,voice,voice,907,h,h,161
quite,quite,1061,easter,easter,903,loved,love,160
yellow,yellow,1060,ball,ball,902,nice,nice,159
walk,walk,1046,bright,bright,900,dogs,dog,159
bright,bright,1039,teacher,teacher,898,became,become,159
sit,sit,1034,sit,sit,898,car,car,158
care,care,1033,dragon,dragon,883,eight,eight,158
watch,watch,1029,flew,fly,882,planet,planet,158
flowers,flower,1024,lost,lose,879,gets,get,157
course,course,1023,across,across,873,looking,look,157
pumpkin,pumpkin,1023,class,class,870,eating,eat,156
teacher,teacher,1018,care,care,864,fall,fall,156
call,call,1018,catch,catch,861,whole,whole,156
voice,voice,1017,four,four,860,morning,morning,156
ball,ball,1017,almost,almost,859,sharks,shark,156
across,across,1016,daddy,daddy,853,tall,tall,154
bunny,bunny,1012,watch,watch,853,sad,sad,154
hands,hand,1012,pumpkin,pumpkin,852,swim,swim,153
egg,egg,1009,wrong,wrong,849,often,often,153
almost,almost,1009,feeling,feel,848,ways,way,153
TRUE,TRUE,1005,call,call,846,wings,wing,153
feeling,feel,1000,brown,brown,846,heard,hear,153
learn,learn,999,egg,egg,845,sweet,sweet,152
himself,himself,995,papa,papa,845,feeling,feel,152
class,class,993,five,five,842,bed,bed,152
others,other,992,playing,play,839,young,young,152
smiled,smile,991,nose,nose,835,gave,give,152
believe,believe,991,loves,love,835,rock,rock,152
brown,brown,986,written,write,835,hi,hi,152
dragon,dragon,986,real,real,832,girl,girl,151
playing,play,981,window,window,829,face,face,151
written,write,979,leave,leave,829,anything,anything,150
tail,tail,977,yellow,yellow,828,almost,almost,150
catch,catch,976,TRUE,TRUE,828,born,bear,150
nose,nose,976,believe,believe,826,kindness,kindness,149
part,part,975,jack,jack,825,bit,bit,149
