word,lemma,freq
worry,worry,116
coming,come,116
coat,coat,116
martin,martin,116
fruit,fruit,116
able,able,116
build,build,116
pick,pick,115
ball,ball,115
catch,catch,115
breathe,breathe,115
yet,yet,115
brother,brother,115
yourself,yourself,115
dance,dance,114
americans,americans,114
bring,bring,114
hungry,hungry,114
giant,giant,113
grandma,grandma,113
breath,breath,113
magical,magical,113
mommy,mommy,112
forest,forest,112
amazing,amazing,112
patrick,patrick,112
dinner,dinner,112
hide,hide,112
growing,grow,111
shape,shape,111
ones,one,111
wo,will,111
city,city,110
goes,go,110
voice,voice,110
soft,soft,110
dry,dry,110
eye,eye,110
cut,cut,110
game,game,110
scary,scary,109
weather,weather,108
parts,part,108
forget,forget,108
mama,mama,108
s,s,108
wind,wind,108
purple,purple,108
visit,visit,108
feels,feel,108
pink,pink,108
alone,alone,108
scared,scared,107
monkeys,monkey,107
mind,mind,107
grew,grow,106
keeps,keep,105
welcome,welcome,105
course,course,105
round,round,105
polar,polar,105
turtles,turtle,105
miles,mile,105
na,to,104
gon,go,104
short,short,104
nine,nine,104
native,native,103
dragon,dragon,103
above,above,103
mary,mary,103
predators,predator,103
sister,sister,103
step,step,103
mrs,mrs,103
extra,extra,103
quite,quite,102
tigers,tiger,102
sing,sing,102
fight,fight,102
mud,mud,102
behind,behind,102
filled,fill,102
arctic,arctic,101
huge,huge,101
hat,hat,101
angry,angry,100
vote,vote,100
hunt,hunt,100
working,work,100
perfect,perfect,100
ran,run,100
grows,grow,100
blood,blood,100
bus,bus,99
rainbow,rainbow,99
bee,bee,99
thick,thick,99
wide,wide,99
enjoy,enjoy,99
d,d,99
team,team,99
ride,ride,99
honey,honey,99
lights,light,99
million,million,98
sat,sit,98
dinosaur,dinosaur,98
apple,apple,98
group,group,98
idea,idea,98
quickly,quickly,97
using,use,97
daddy,daddy,97
grass,grass,97
everybody,everybody,97
paper,paper,97
brought,bring,97
likes,like,97
lived,live,97
letter,letter,96
speak,speak,96
ears,ear,96
smell,smell,96
gives,give,96
follow,follow,96
named,name,96
second,second,96
bones,bone,95
protect,protect,95
power,power,95
cream,cream,95
ladybug,ladybug,95
wrote,write,95
stick,stick,95
grandpa,grandpa,94
m,m,94
foreign,foreign,94
turned,turn,93
lost,lose,93
drink,drink,92
feelings,feeling,92
arms,arm,92
kept,keep,92
loves,love,92
choose,choose,92
pet,pet,92
answer,answer,92
owl,owl,92
everywhere,everywhere,91
sam,sam,91
longer,long,91
art,art,91
healthy,healthy,91
floor,floor,91
tells,tell,91
wrong,wrong,91
spots,spot,91
shapes,shape,90
cars,car,90
watching,watch,90
sick,sick,90
woman,woman,90
saying,say,90
sand,sand,90
past,past,90
pie,pie,90
letters,letter,90
decided,decide,90
cake,cake,90
uncle,uncle,90
war,war,90
pumpkins,pumpkin,89
line,line,89
needs,need,89
truck,truck,89
corn,corn,89
helping,help,89
wants,want,88
lincoln,lincoln,88
north,north,88
shoes,shoe,88
games,game,88
workers,worker,88
waiting,wait,88
subscribe,subscribe,88
write,write,88
building,building,88
humans,human,87
months,month,87
police,police,87
