word,lemma,freq
wonder,wonder,722
six,six,718
jump,jump,717
ride,ride,716
money,money,716
boat,boat,716
stood,stand,715
mouth,mouth,714
likes,like,713
young,young,713
bears,bear,713
kept,keep,712
thinking,think,711
learned,learn,710
cats,cat,710
meet,meet,708
princess,princess,707
late,late,706
birthday,birthday,706
halloween,halloween,706
knows,know,706
everywhere,everywhere,705
tired,tired,704
toys,toy,704
pie,pie,701
eating,eat,698
poor,poor,697
game,game,696
owl,owl,695
orange,orange,693
song,song,692
near,near,691
grandpa,grandpa,691
summer,summer,688
picked,pick,688
river,river,687
wings,wing,684
star,star,684
plan,plan,682
whispered,whisper,682
onto,onto,681
ah,ah,678
chocolate,chocolate,676
excited,excited,675
second,second,675
watching,watch,675
slowly,slowly,674
shark,shark,673
stuck,stick,672
sheep,sheep,670
helped,help,670
line,line,669
fairy,fairy,668
takes,take,666
asleep,asleep,666
ocean,ocean,664
spring,spring,664
magical,magical,663
fluffy,fluffy,662
easy,easy,659
hole,hole,659
subscribe,subscribe,659
apple,apple,659
soft,soft,658
space,space,656
horse,horse,656
wear,wear,655
hug,hug,653
city,city,651
truck,truck,651
watched,watch,646
grass,grass,645
sounds,sound,644
pick,pick,643
running,run,642
train,train,641
amazing,amazing,638
ears,ear,637
yourself,yourself,635
thanksgiving,thanksgiving,635
queen,queen,635
kitchen,kitchen,634
welcome,welcome,633
replied,reply,633
needed,need,633
bigger,big,632
animal,animal,632
named,name,630
strange,strange,628
change,change,628
became,become,626
jesus,jesus,625
goodbye,goodbye,622
arrived,arrive,620
needs,need,618
large,large,617
body,body,617
held,hold,617
park,park,616
race,race,616
liked,like,614
h,h,613
street,street,612
matter,matter,611
talking,talk,610
stand,stand,609
prince,prince,608
sam,sam,607
moment,moment,605
candy,candy,604
anyone,anyone,604
enjoy,enjoy,603
actually,actually,603
wide,wide,601
tooth,tooth,600
picture,picture,600
flower,flower,599
boys,boy,599
follow,follow,596
bag,bag,595
times,time,594
visit,visit,594
elephant,elephant,594
tomorrow,tomorrow,593
taking,take,592
stick,stick,590
below,below,590
rainbow,rainbow,589
dr,dr,588
arms,arm,587
cow,cow,585
breath,breath,583
trick,trick,582
treat,treat,581
quick,quick,579
huge,huge,578
colors,color,578
mary,mary,577
reached,reach,576
peppa,peppa,575
count,count,575
met,meet,574
squirrel,squirrel,574
secret,secret,573
seven,seven,572
herself,herself,572
swim,swim,570
worked,work,569
rose,rose,567
saying,say,567
mine,mine,567
mess,mess,566
climbed,climb,564
men,man,564
library,library,563
yelled,yell,562
seemed,seem,559
valentine,valentine,558
ghost,ghost,558
woman,woman,558
trouble,trouble,557
clothes,clothe,557
problem,problem,556
played,play,556
asks,ask,555
purple,purple,553
plants,plant,551
cheese,cheese,549
pet,pet,549
chair,chair,548
copy,copy,548
dreams,dream,547
eye,eye,547
milk,milk,547
wild,wild,547
lion,lion,546
fact,fact,545
stuff,stuff,545
delicious,delicious,543
peter,peter,542
gift,gift,540
shook,shake,540
team,team,539
laugh,laugh,535
art,art,535
answer,answer,533
tea,tea,533
sand,sand,533
happens,happen,533
ship,ship,530
child,child,530
step,step,527
spider,spider,526
worried,worried,525
myself,myself,523
farmer,farmer,523
turtle,turtle,523
ones,one,523
chicken,chicken,522
